title,address,access,outline,floor,fee,management_fee,deposit,gratuity,madori,menseki,url,age,total_floor,route_1,station_1,time_1,route_2,station_2,time_2,route_3,station_3,time_3
ガリシアグランデ江戸川橋,東京都文京区水道２,"
東京メトロ有楽町線/江戸川橋駅 歩5分
ＪＲ中央線/飯田橋駅 歩8分
東京メトロ東西線/神楽坂駅 歩11分
","
築10年
9階建
",4階,109000,6000,0,0,1K,25.59,https://suumo.jp/chintai/jnc_000087676789/?bc=100361212736,10,9,東京メトロ有楽町線,江戸川橋,5,ＪＲ中央線,飯田橋,8,東京メトロ東西線,神楽坂,11
ガリシアグランデ江戸川橋,東京都文京区水道２,"
東京メトロ有楽町線/江戸川橋駅 歩5分
ＪＲ中央線/飯田橋駅 歩8分
東京メトロ東西線/神楽坂駅 歩11分
","
築10年
9階建
",3階,138000,18000,0,276000,1LDK,40.85,https://suumo.jp/chintai/jnc_000087450827/?bc=100361417497,10,9,東京メトロ有楽町線,江戸川橋,5,ＪＲ中央線,飯田橋,8,東京メトロ東西線,神楽坂,11
クリオ文京小石川,東京都文京区小石川１,"
都営大江戸線/春日駅 歩4分
東京メトロ丸ノ内線/後楽園駅 歩6分
ＪＲ中央線/水道橋駅 歩17分
","
築19年
地下1地上15階建
",4階,166000,8000,166000,166000,1LDK,35.74,https://suumo.jp/chintai/jnc_000087378426/?bc=100359696667,19,15,都営大江戸線,春日,4,東京メトロ丸ノ内線,後楽園,6,ＪＲ中央線,水道橋,17
クリオ文京小石川,東京都文京区小石川１,"
都営大江戸線/春日駅 歩4分
東京メトロ丸ノ内線/後楽園駅 歩6分
ＪＲ中央線/水道橋駅 歩17分
","
築19年
地下1地上15階建
",10階,172000,8000,172000,172000,1DK,35.74,https://suumo.jp/chintai/jnc_000087378425/?bc=100359743571,19,15,都営大江戸線,春日,4,東京メトロ丸ノ内線,後楽園,6,ＪＲ中央線,水道橋,17
クリオ文京小石川,東京都文京区小石川１,"
都営大江戸線/春日駅 歩4分
東京メトロ丸ノ内線/後楽園駅 歩6分
ＪＲ中央線/水道橋駅 歩17分
","
築19年
地下1地上15階建
",11階,176000,10000,176000,176000,1DK,40.09,https://suumo.jp/chintai/jnc_000067360698/?bc=100356504775,19,15,都営大江戸線,春日,4,東京メトロ丸ノ内線,後楽園,6,ＪＲ中央線,水道橋,17
クリオ文京小石川,東京都文京区小石川１,"
都営大江戸線/春日駅 歩4分
東京メトロ丸ノ内線/後楽園駅 歩6分
ＪＲ中央線/水道橋駅 歩17分
","
築19年
地下1地上15階建
",12階,179000,10000,179000,0,1DK,40.09,https://suumo.jp/chintai/jnc_000084400852/?bc=100354828445,19,15,都営大江戸線,春日,4,東京メトロ丸ノ内線,後楽園,6,ＪＲ中央線,水道橋,17
クリオ文京小石川,東京都文京区小石川１,"
都営大江戸線/春日駅 歩4分
東京メトロ丸ノ内線/後楽園駅 歩6分
ＪＲ中央線/水道橋駅 歩17分
","
築19年
地下1地上15階建
",5階,318000,12000,318000,318000,3LDK,65.58,https://suumo.jp/chintai/jnc_000087309512/?bc=100359417330,19,15,都営大江戸線,春日,4,東京メトロ丸ノ内線,後楽園,6,ＪＲ中央線,水道橋,17
クリオ文京小石川,東京都文京区小石川１,"
都営大江戸線/春日駅 歩4分
東京メトロ丸ノ内線/後楽園駅 歩6分
ＪＲ中央線/水道橋駅 歩17分
","
築19年
地下1地上15階建
",7階,318000,12000,318000,318000,3LDK,64.3,https://suumo.jp/chintai/jnc_000087309513/?bc=100361321637,19,15,都営大江戸線,春日,4,東京メトロ丸ノ内線,後楽園,6,ＪＲ中央線,水道橋,17
ＪＲ山手線 駒込駅 15階建 築5年,東京都文京区本駒込３,"
ＪＲ山手線/駒込駅 歩10分
東京メトロ南北線/本駒込駅 歩7分
都営三田線/千石駅 歩10分
","
築5年
15階建
",3階,143000,10000,143000,143000,1LDK,36.56,https://suumo.jp/chintai/jnc_000086845830/?bc=100356834966,5,15,ＪＲ山手線,駒込,10,東京メトロ南北線,本駒込,7,都営三田線,千石,10
ＪＲ山手線 駒込駅 15階建 築5年,東京都文京区本駒込３,"
ＪＲ山手線/駒込駅 歩10分
東京メトロ南北線/本駒込駅 歩7分
都営三田線/千石駅 歩10分
","
築5年
15階建
",4階,254000,15000,254000,254000,2LDK,56.36,https://suumo.jp/chintai/jnc_000086666689/?bc=100356724426,5,15,ＪＲ山手線,駒込,10,東京メトロ南北線,本駒込,7,都営三田線,千石,10
ＪＲ山手線 駒込駅 15階建 築5年,東京都文京区本駒込３,"
ＪＲ山手線/駒込駅 歩10分
東京メトロ南北線/本駒込駅 歩7分
都営三田線/千石駅 歩10分
","
築5年
15階建
",6階,256000,15000,256000,256000,2LDK,56.36,https://suumo.jp/chintai/jnc_000085767681/?bc=100348959616,5,15,ＪＲ山手線,駒込,10,東京メトロ南北線,本駒込,7,都営三田線,千石,10
ウェルスクエアイズム文京千石,東京都文京区千石３,"
都営三田線/千石駅 歩8分
ＪＲ山手線/巣鴨駅 歩12分
東京メトロ丸ノ内線/新大塚駅 歩13分
","
築4年
4階建
",2階,127000,5000,0,127000,1LDK,30.07,https://suumo.jp/chintai/jnc_000087545345/?bc=100361052481,4,4,都営三田線,千石,8,ＪＲ山手線,巣鴨,12,東京メトロ丸ノ内線,新大塚,13
パセオ文京茗荷谷,東京都文京区大塚４,"
東京メトロ丸ノ内線/新大塚駅 歩7分
東京メトロ丸ノ内線/茗荷谷駅 歩8分
東京メトロ有楽町線/護国寺駅 歩11分
","
築4年
4階建
",3階,105000,10000,0,0,ワンルーム,23.18,https://suumo.jp/chintai/jnc_000087305086/?bc=100359425410,4,4,東京メトロ丸ノ内線,新大塚,7,東京メトロ丸ノ内線,茗荷谷,8,東京メトロ有楽町線,護国寺,11
パセオ文京茗荷谷,東京都文京区大塚４,"
東京メトロ丸ノ内線/新大塚駅 歩7分
東京メトロ丸ノ内線/茗荷谷駅 歩8分
東京メトロ有楽町線/護国寺駅 歩11分
","
築4年
4階建
",4階,162000,12000,0,0,1LDK,40.1,https://suumo.jp/chintai/jnc_000087723093/?bc=100361460511,4,4,東京メトロ丸ノ内線,新大塚,7,東京メトロ丸ノ内線,茗荷谷,8,東京メトロ有楽町線,護国寺,11
ブランシエスタ白山,東京都文京区白山１,"
都営三田線/白山駅 歩6分
都営大江戸線/春日駅 歩8分
東京メトロ南北線/東大前駅 歩12分
","
築5年
14階建
",2階,159000,10000,159000,159000,1LDK,34.77,https://suumo.jp/chintai/jnc_000048488542/?bc=100361255480,5,14,都営三田線,白山,6,都営大江戸線,春日,8,東京メトロ南北線,東大前,12
ブランシエスタ白山,東京都文京区白山１,"
都営三田線/白山駅 歩6分
都営大江戸線/春日駅 歩8分
東京メトロ南北線/東大前駅 歩12分
","
築5年
14階建
",8階,159000,10000,159000,0,1LDK,34.74,https://suumo.jp/chintai/jnc_000085640575/?bc=100339393036,5,14,都営三田線,白山,6,都営大江戸線,春日,8,東京メトロ南北線,東大前,12
